method,case_id,category,fake_record_name,synthetic_byte_buffer_hex,buffer_length,offset,requested_integer_width,alignment_requirement,endian_policy,operation_label,compiler_feature_needed,context_label,expected_observation,actual_observation,expected_success,actual_success,c_harness_observation_matched,memcpy_observation_matched,manual_load_observation_matched,alignment_observation_matched,unsigned_char_observation_matched,endian_observation_matched,wrapper_observation_matched,portability_truth_intentionally_not_tested,production_parser_truth_intentionally_not_tested,expected_to_fail_naive,output_char_length,output_byte_length,elapsed_s,failure_reason,compiler_selected,compiler_version
preserve_original_case_baseline,c001,unsigned_char_can_view_uint64_bytes,fake_bytes,\x12\x34\x56\x78\x9a\xbc\xde\xf0,8,0,64,8,native,unsigned_char_view,none,object_representation_policy,unsigned_char_can_inspect_object_bytes,unsigned_char_can_inspect_object_bytes,success,success,True,False,False,False,True,False,False,False,False,False,0,0,3.990018740296364e-06,,,
preserve_original_case_baseline,c002,unsigned_char_can_view_uint64_bytes,demo_buffer,\x12\x34\x56\x78\x9a\xbc\xde\xf0,8,0,64,8,native,unsigned_char_view,none,object_representation_policy,unsigned_char_can_inspect_object_bytes,unsigned_char_can_inspect_object_bytes,success,success,True,False,False,False,True,False,False,False,False,False,0,0,2.042856067419052e-06,,,
preserve_original_case_baseline,c003,uint8_t_aliasing_portability_marker,synthetic_alias_case,\x00\x01\x02\x03\x04\x05\x06\x07,8,0,64,1,native,uint8_t_aliasing_check,stdint_h,strict_aliasing_caveat,uint8_t_is_typically_unsigned_char_alias_safe_direction_matters,uint8_t_is_typically_unsigned_char_alias_safe_direction_matters,success,success,True,False,False,False,False,False,False,False,False,False,0,0,2.5238841772079468e-06,,,
preserve_original_case_baseline,c004,char_view_directionality_marker,demo_buffer,\xaa\xbb\xcc\xdd\xee\xff\x11\x22,8,0,64,8,native,char_view_directionality,none,object_representation_policy,char_can_view_object_but_reverse_not_automatically_safe,char_can_view_object_but_reverse_not_automatically_safe,success,success,True,False,False,False,False,False,False,False,False,True,0,0,6.977934390306473e-07,,,
preserve_original_case_baseline,c005,pointer_cast_without_deref_marker,fake_bytes,\x01\x01\x01\x01\x01\x01\x01\x01,8,1,64,8,native,cast_without_deref,none,alignment_policy,cast_alone_not_same_as_deref,cast_alone_not_same_as_deref,success,success,True,False,False,False,False,False,False,False,False,False,0,0,5.669426172971725e-07,,,
preserve_original_case_baseline,c006,misaligned_uint64_deref_not_run,toy_alignment_case,\x00\x01\x02\x03\x04\x05\x06\x07\x08\x09\x0a\x0b\x0c\x0d\x0e\x0f,16,1,64,8,native,unsafe_deref_misaligned,none,alignment_policy,not_run_UB_misaligned_deref,not_run_UB_misaligned_deref,not_tested,not_tested,True,False,False,True,False,False,False,True,True,True,0,0,4.940666258335114e-07,,,
preserve_original_case_baseline,c007,misaligned_uint64_deref_not_run,toy_alignment_case,\x00\x01\x02\x03\x04\x05\x06\x07\x08\x09\x0a\x0b\x0c\x0d\x0e\x0f,16,3,64,8,native,unsafe_deref_misaligned,none,alignment_policy,not_run_UB_misaligned_deref,not_run_UB_misaligned_deref,not_tested,not_tested,True,False,False,True,False,False,False,True,True,True,0,0,4.761386662721634e-07,,,
preserve_original_case_baseline,c008,misaligned_uint64_deref_not_run,toy_alignment_case,\x00\x01\x02\x03\x04\x05\x06\x07\x08\x09\x0a\x0b\x0c\x0d\x0e\x0f,16,5,64,8,native,unsafe_deref_misaligned,none,alignment_policy,not_run_UB_misaligned_deref,not_run_UB_misaligned_deref,not_tested,not_tested,True,False,False,True,False,False,False,True,True,True,0,0,3.5087577998638153e-07,,,
preserve_original_case_baseline,c009,wrong_effective_type_deref_not_run,synthetic_alias_case,\x11\x11\x11\x11\x11\x11\x11\x11,8,0,64,8,native,unsafe_deref_effective_type,none,effective_type_caveat,not_run_UB_wrong_effective_type,not_run_UB_wrong_effective_type,not_tested,not_tested,True,False,False,False,False,False,False,True,True,True,0,0,4.109460860490799e-07,,,
preserve_original_case_baseline,c010,aligned_uint64_object_read_success,fake_u64_field,\xef\xbe\xad\xde\x00\x00\x00\x00\xef\xbe\xad\xde\x00\x00\x00\x00,16,0,64,8,native,aligned_object_read,none,alignment_policy,aligned_object_read_success,aligned_object_read_success,success,success,True,False,False,True,False,False,False,False,False,False,0,0,3.8603320717811584e-07,,,
preserve_original_case_baseline,c011,aligned_uint64_object_read_success,fake_u64_field,\xef\xbe\xad\xde\x00\x00\x00\x00\xef\xbe\xad\xde\x00\x00\x00\x00,16,8,64,8,native,aligned_object_read,none,alignment_policy,aligned_object_read_success,aligned_object_read_success,success,success,True,False,False,True,False,False,False,False,False,False,0,0,3.3993273973464966e-07,,,
preserve_original_case_baseline,c012,memcpy_load_u64_native_order,demo_payload,\x00\x01\x02\x03\x04\x05\x06\x07,8,0,64,1,native,memcpy_load,string_h,memcpy_policy,memcpy_loads_bytes_into_integer_object_portably,memcpy_loads_bytes_into_integer_object_portably,success,success,True,True,False,False,False,False,False,False,False,False,0,0,4.260800778865814e-07,,,
preserve_original_case_baseline,c013,memcpy_load_u64_native_order,demo_payload,\x08\x09\x0a\x0b\x0c\x0d\x0e\x0f,8,0,64,1,native,memcpy_load,string_h,memcpy_policy,memcpy_loads_bytes_into_integer_object_portably,memcpy_loads_bytes_into_integer_object_portably,success,success,True,True,False,False,False,False,False,False,False,False,0,0,4.5099295675754547e-07,,,
preserve_original_case_baseline,c014,memcpy_load_u32_native_order,synthetic_word,\x78\x56\x34\x12,4,0,32,1,native,memcpy_load,string_h,memcpy_policy,memcpy_load_u32_native,memcpy_load_u32_native,success,success,True,True,False,False,False,False,False,False,False,False,0,0,3.9604492485523224e-07,,,
preserve_original_case_baseline,c015,memcpy_store_roundtrip_u64,sample_blob,\x00\x00\x00\x00\x00\x00\x00\x00,8,0,64,1,native,memcpy_roundtrip,string_h,memcpy_policy,memcpy_roundtrip_preserves_bits,memcpy_roundtrip_preserves_bits,success,success,True,True,False,False,False,False,False,False,False,False,0,0,3.159511834383011e-07,,,
preserve_original_case_baseline,c016,memmove_overlap_byte_buffer,example_block,\x00\x01\x02\x03\x04\x05\x06\x07\x08\x09\x0a\x0b\x0c\x0d\x0e\x0f,16,2,0,1,native,memmove_overlap,string_h,memcpy_policy,memmove_handles_overlap_safely,memmove_handles_overlap_safely,success,success,True,False,False,False,False,False,False,False,False,False,0,0,3.4994445741176605e-07,,,
preserve_original_case_baseline,c017,manual_little_endian_load_u16,toy_endian_case,\x00\x01,2,0,16,1,little,manual_byte_shift_load,none,endian_caveat,manual_le_load_u16_explicit_endian,manual_le_load_u16_explicit_endian,success,success,True,False,True,False,False,True,False,False,False,False,0,0,3.7997961044311523e-07,,,
preserve_original_case_baseline,c018,manual_little_endian_load_u32,toy_endian_case,\x00\x01\x02\x03,4,0,32,1,little,manual_byte_shift_load,none,endian_caveat,manual_le_load_u32_explicit_endian,manual_le_load_u32_explicit_endian,success,success,True,False,True,False,False,True,False,False,False,False,0,0,4.169996827840805e-07,,,
preserve_original_case_baseline,c019,manual_little_endian_load_u64,toy_endian_case,\x00\x01\x02\x03\x04\x05\x06\x07,8,0,64,1,little,manual_byte_shift_load,none,endian_caveat,manual_le_load_u64_explicit_endian,manual_le_load_u64_explicit_endian,success,success,True,False,True,False,False,True,False,False,False,False,0,0,3.9301812648773193e-07,,,
preserve_original_case_baseline,c020,manual_big_endian_load_u16,toy_endian_case,\x00\x01,2,0,16,1,big,manual_byte_shift_load,none,endian_caveat,manual_be_load_u16_explicit_endian,manual_be_load_u16_explicit_endian,success,success,True,False,True,False,False,True,False,False,False,False,0,0,3.390014171600342e-07,,,
preserve_original_case_baseline,c021,manual_big_endian_load_u32,toy_endian_case,\x00\x01\x02\x03,4,0,32,1,big,manual_byte_shift_load,none,endian_caveat,manual_be_load_u32_explicit_endian,manual_be_load_u32_explicit_endian,success,success,True,False,True,False,False,True,False,False,False,False,0,0,3.7299469113349915e-07,,,
preserve_original_case_baseline,c022,manual_big_endian_load_u64,toy_endian_case,\x00\x01\x02\x03\x04\x05\x06\x07,8,0,64,1,big,manual_byte_shift_load,none,endian_caveat,manual_be_load_u64_explicit_endian,manual_be_load_u64_explicit_endian,success,success,True,False,True,False,False,True,False,False,False,False,0,0,4.00003045797348e-07,,,
preserve_original_case_baseline,c023,endian_policy_native_vs_explicit,toy_endian_case,\x01\x02\x03\x04,4,0,32,1,native,endian_policy_check,none,endian_caveat,native_endian_differs_from_explicit_wire_format,native_endian_differs_from_explicit_wire_format,success,success,True,False,True,False,False,True,False,False,False,True,0,0,4.169996827840805e-07,,,
